Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor
16,"A Kulkarni, J Callan","Topic-based index partitions for efficient and effective selective search",2010,"SIGIR 2010 Workshop on Large-Scale …","academia.edu","http://www.academia.edu/download/30766858/lsdsir2010.pdf#page=19","https://scholar.google.com/scholar?cites=18088565821454698658&as_sdt=5,47&sciodt=0,47&hl=en&num=20",43,"2017-12-15","PDF","","","",0,0,0,0,16,2.29,8
97,"L Azzopardi, M De Rijke, K Balog","Building simulated queries for known-item topics: an analysis using six european languages",2007,"… 30th annual international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=1277820","https://scholar.google.com/scholar?cites=142936931809373039&as_sdt=5,47&sciodt=0,47&hl=en&num=20",44,"2017-12-15","","","","",0,0,0,0,97,9.70,32
2,"F Hasibi, K Balog, SE Bratsberg","Dynamic Factual Summaries for Entity Cards",2017,"Proc. of SIGIR","hasibi.com","http://hasibi.com/files/sigir2017-dynes.pdf","https://scholar.google.com/scholar?cites=14258404652276103493&as_sdt=5,47&sciodt=0,47&hl=en&num=20",45,"2017-12-15","PDF","","","",0,0,0,0,2,2.00,1
38,"B Pôssas, N Ziviani, W Meira Jr…","Set-based model: A new approach for information retrieval",2002,"… international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=564417","https://scholar.google.com/scholar?cites=15772408771400826850&as_sdt=5,47&sciodt=0,47&hl=en&num=20",46,"2017-12-15","","","","",0,0,0,0,38,2.53,10
1,"W Song, Y Zhang, Y Xie, T Liu, S Li","Query term ranking based on search results overlap",2011,"… of the 34th international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2010145","https://scholar.google.com/scholar?cites=16494729731852981965&as_sdt=5,47&sciodt=0,47&hl=en&num=20",47,"2017-12-15","","","","",0,0,0,0,1,0.17,0
6,"SH Na, J Kim, IS Kang, JH Lee","Exploiting proximity feature in bigram language model for information retrieval",2008,"… the 31st annual international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=1390522","https://scholar.google.com/scholar?cites=2599444824862237805&as_sdt=5,47&sciodt=0,47&hl=en&num=20",48,"2017-12-15","","","","",0,0,0,0,6,0.67,2
21,"A Babashzadeh, J Huang, M Daoud","Exploiting semantics for improving clinical information retrieval",2013,"… the 36th international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2484167","https://scholar.google.com/scholar?cites=9889860621985340813&as_sdt=5,47&sciodt=0,47&hl=en&num=20",49,"2017-12-15","","","","",0,0,0,0,21,5.25,7
39,"T Roelleke","A frequency-based and a poisson-based definition of the probability of being informative",2003,"… of the 26th annual international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=860478","https://scholar.google.com/scholar?cites=707768026020661609&as_sdt=5,47&sciodt=0,47&hl=en&num=20",50,"2017-12-15","","","","",0,0,0,0,39,2.79,39
3,"RC Chen, L Gallagher, R Blanco…","Efficient cost-aware cascade ranking in multi-stage retrieval",2017,"… International ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=3080819","https://scholar.google.com/scholar?cites=10024971163619541328&as_sdt=5,47&sciodt=0,47&hl=en&num=20",51,"2017-12-15","","","","",0,0,0,0,3,3.00,1
14,"D Zhu, B Carterette","An adaptive evidence weighting method for medical record search",2013,"Proceedings of the 36th international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2484175","https://scholar.google.com/scholar?cites=3225308412713102707&as_sdt=5,47&sciodt=0,47&hl=en&num=20",52,"2017-12-15","","","","",0,0,0,0,14,3.50,7
8,"JH Park, WB Croft","Using key concepts in a translation model for retrieval",2015,"Proceedings of the 38th International ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2767768","https://scholar.google.com/scholar?cites=1205804388435968743&as_sdt=5,47&sciodt=0,47&hl=en&num=20",53,"2017-12-15","","","","",0,0,0,0,8,4.00,4
6,"B Koopman, G Zuccon","Understanding negation and family history to improve clinical information retrieval",2014,"… of the 37th international ACM SIGIR conference …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2609487","https://scholar.google.com/scholar?cites=4102831464255951228&as_sdt=5,47&sciodt=0,47&hl=en&num=20",54,"2017-12-15","","","","",0,0,0,0,6,2.00,3
0,"F Hasibi, K Balog, D Garigliotti, S Zhang","Nordlys: A Toolkit for Entity-Oriented and Semantic Search",2017,"… 40th International ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=3084149","",55,"2017-12-15","","","","",0,0,0,0,0,0.00,0
74,"N Balasubramanian, G Kumaran…","Exploring reductions for long web queries",2010,"… international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=1835545","https://scholar.google.com/scholar?cites=11926015799740486288&as_sdt=5,47&sciodt=0,47&hl=en&num=20",56,"2017-12-15","","","","",0,0,0,0,74,10.57,25
42,"Y Zhu, Y Lan, J Guo, X Cheng, S Niu","Learning for search result diversification",2014,"… the 37th international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2609634","https://scholar.google.com/scholar?cites=7278111053174644258&as_sdt=5,47&sciodt=0,47&hl=en&num=20",57,"2017-12-15","","","","",0,0,0,0,42,14.00,8
12,"A Doloc-Mihu, VV Raghavan…","Color retrieval in vector space model",2003,"… ACM SIGIR Workshop …","researchgate.net","https://www.researchgate.net/profile/Vijay_Raghavan10/publication/2910919_Color_Retrieval_in_Vector_Space_Model/links/0912f508a543fef816000000.pdf","https://scholar.google.com/scholar?cites=7030214734155538129&as_sdt=5,47&sciodt=0,47&hl=en&num=20",58,"2017-12-15","PDF","","","",0,0,0,0,12,0.86,4
38,"KT Maxwell, WB Croft","Compact query term selection using topically related text",2013,"Proceedings of the 36th international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2484096","https://scholar.google.com/scholar?cites=6767271936231163108&as_sdt=5,47&sciodt=0,47&hl=en&num=20",59,"2017-12-15","","","","",0,0,0,0,38,9.50,19
1,"F Hasibi, F Nikolaev, C Xiong, K Balog…","DBpedia-Entity v2: A Test Collection for Entity Search",2017,"… ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=3080751","https://scholar.google.com/scholar?cites=14011796668034745886&as_sdt=5,47&sciodt=0,47&hl=en&num=20",60,"2017-12-15","","","","",0,0,0,0,1,1.00,0
0,"S Balaneshin-kordan, A Kotov","Embedding-based Query Expansion for Weighted Sequential Dependence Retrieval Model",2017,"… of the 40th International ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=3080764","",61,"2017-12-15","","","","",0,0,0,0,0,0.00,0
1,"M Petri, A Moffat","On the cost of phrase-based ranking",2015,"Proceedings of the 38th International ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2767769","https://scholar.google.com/scholar?cites=4713593478450358131&as_sdt=5,47&sciodt=0,47&hl=en&num=20",62,"2017-12-15","","","","",0,0,0,0,1,0.50,1
